platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Tr,Europe,tr,News,#GRWM,Makeup basics you need,YukiTV,licensed,Neutral piano,1,36,8387,406,51,53,30,0.064385,stable,TikTok Creative Center,jumpcut edits,Android,15,Beauty,4,Short,2096.75,4,0.006081,0.006319,0.003577,81.2,Sunday,Afternoon,Regular,"beauty, makeup, skincare, tips, grwm",Can’t stop watching 😂,92871.7,Mid,Spring,2025-01-05,2025-01,GRWM — Minimal Look ✨,21,1,20.5,0.569,Samsung,External,1,09411e23ed38da8c7dc1af323ee4a829,540,0.048408,0.000477,64.385,0.048408250864433,0.0060808393943007,0.0063193036842732
TikTok,Gb,Europe,en,Pets,#Makeup,GRWM — 2025 Look,OliviaYT,licensed,Bark hop,1,13,41879,5320,667,464,919,0.175983,seasonal,Open Web Samples,storytime,iOS,17,Beauty,5,Short,8375.8,139,0.015927,0.01108,0.021944,38.0,Saturday,Evening,Regular,"makeup, grwm, beauty, tips",Thanks for this!,85903.6,Mid,Winter,2025-01-04,2025-01,Makeup Basics You Need,22,0,10.8,0.831,Xiaomi,ForYou,1,52cee7fe1f79c8c549bd00f702e22f9b,7370,0.127033,0.003319,175.983,0.1270326416581102,0.015926836839466,0.0110795386709329
TikTok,Us,North America,en,Comedy,#DogTok,Morning Routine — Productivity,VividMedia,trending,Whistle loop,1,62,481882,35108,4168,2208,2183,0.090618,rising,TikTok Creative Center,fast captions,Android,17,Pets,6,Short,80313.67,897,0.008649,0.004582,0.00453,39.095768,Friday,Evening,Regular,"cute, dogs, cats",Can’t stop watching 😂,91145.8,Mid,Spring,2025-01-03,2025-01,Cutest moments today,20,0,50.0,0.806,Xiaomi,ForYou,1,d6ecb7c76f855b29b33b799967aeda0d,43667,0.072856,0.001861,90.618,0.0728560103925857,0.0086494203975247,0.0045820346059823
TikTok,Ng,Africa,en,Science,#FYP,I tried making Sushi,LiamOfficial,original,Lab beeps,1,15,15030,1316,134,110,82,0.109248,seasonal,TikTok Creative Center,emoji overlays,Android,14,Food,6,Short,2505.0,42,0.008916,0.007319,0.005456,30.604651,Sunday,Afternoon,BackToSchool,"recipe, kitchen, street food",Thanks for this!,82810.8,Mid,Fall,2025-01-05,2025-01,I tried making Tacos ✨,22,1,12.7,0.847,Vivo,ForYou,1,40c4786ac981488564b75ccf50ef834d,1642,0.087558,0.002794,109.248,0.0875582168995342,0.0089155023286759,0.0073186959414504
TikTok,Fr,Europe,fr,DIY,#Coding,My Favorite College Apps,MusicByYoussef,trending,Woodshop groove,1,59,808842,48714,4590,4756,3055,0.075559,rising,Open Web Samples,subtitles,iOS,1,Tech,18,Medium,44935.67,2020,0.005675,0.00588,0.003777,24.103909,Friday,Night,Regular,"tutorial, tools, apps, tech",Incroyable !,127261.5,Mid,Spring,2025-01-03,2025-01,Build This in 10 Minutes,24,0,48.5,0.822,Samsung,ForYou,1,216bd146eb0d1abfadc77c42b243c6e8,61115,0.060227,0.002497,75.559,0.0602268428197348,0.0056747794995808,0.005880011176472
TikTok,Za,Africa,en,Travel,#Dance,Morning Routine — Budget,AvaVlogs,trending,Backpack beat,1,33,105748,6316,805,640,408,0.07725,rising,Public Reports,greenscreen,Android,18,Dance,6,Short,17624.67,166,0.007612,0.006052,0.003858,37.820359,Friday,Evening,Regular,"trend, dance, music",So underrated!,103877.5,Mid,Fall,2025-01-03,2025-01,Dance With Me — Evening 🧠,25,1,19.0,0.576,Xiaomi,ForYou,1,14c0c367169ea1fa70eb23bb4e4caecf,8169,0.059727,0.00157,77.25,0.0597268979082346,0.0076124371146499,0.0060521239172372
TikTok,Ma,Africa,ar,Fashion,#FYP,If College was honest,EmilyVlogs,licensed,Runway loop,1,72,35213,3310,353,286,310,0.12095,declining,TikTok Creative Center,meme template,Web,14,Comedy,9,Medium,3912.56,22,0.010025,0.008122,0.008804,143.913043,Friday,Afternoon,Regular,"comedy, relatable, sketch, funny",مش قادر أبطل اتفرج 😂,116667.1,Mid,Spring,2025-01-03,2025-01,If Productivity was honest 🏖️,29,1,54.7,0.76,Desktop,Search,1,253eea93f27f68a329b11b16cabd8241,4259,0.093999,0.000625,120.95,0.0939993752307386,0.0100247067844262,0.0081220003975804
TikTok,Mx,North America,es,Travel,#Lifestyle,Night Routine — Summer,ProJames,trending,City stroll,1,23,33310,3677,307,420,701,0.153257,declining,TikTok Creative Center,tutorial overlay,Android,15,Lifestyle,3,Short,11103.33,114,0.009216,0.012609,0.021045,31.973913,Thursday,Afternoon,Regular,"routine, motivation, daily",No puedo parar de mirar 😂,85917.1,Mid,Fall,2025-01-02,2025-01,Night Routine — Budget 🔥,24,1,15.6,0.678,Oppo,ForYou,0,c85fb3c55377372c319499694cfbb4a4,5105,0.110387,0.003422,153.257,0.1103872710897628,0.0092164515160612,0.0126088261783248
TikTok,Nl,Europe,nl,News,#FYP,Underrated artists you need to hear,OmarVlogs,trending,Ambient pulse,1,24,200846,7772,790,573,480,0.047872,seasonal,TikTok Creative Center,facecam,iOS,18,Music,8,Medium,25105.75,66,0.003933,0.002853,0.00239,116.0,Saturday,Evening,SummerBreak,"music, song, beat, cover",Instant like!,96938.3,Mid,Summer,2025-01-04,2025-01,Underrated artists to hear 🧠,28,1,19.0,0.792,iPhone,ForYou,1,4fd680b69859b2c6430cb01c4d059a2a,9615,0.038696,0.000329,47.872,0.0386963145892873,0.0039333618792507,0.0028529320972287
TikTok,Nl,Europe,nl,Beauty,#FYP,Makeup basics you need,ProHassan,original,Ambient glow,1,62,99012,6405,691,787,705,0.086737,declining,TikTok Creative Center,text-to-speech,Android,14,Beauty,4,Short,24753.0,155,0.006979,0.007949,0.00712,41.057692,Sunday,Afternoon,SummerBreak,"grwm, makeup, skincare, tips, beauty",So underrated!,134649.3,Mid,Summer,2025-01-05,2025-01,GRWM — Evening Look ✨ ✨,23,1,44.0,0.71,Samsung,ForYou,1,626e567a493bb5328b5afcd4f14a5173,8588,0.064689,0.001565,86.737,0.0646891285904738,0.0069789520462166,0.0079485314911323
TikTok,Mx,North America,es,Lifestyle,#Makeup,Skincare routine for Beginners,BeautyByAmr,original,Sunset pad,1,41,23423,1373,151,191,235,0.083252,declining,TikTok Creative Center,subtitles,Android,23,Beauty,4,Short,5855.75,56,0.006447,0.008154,0.010033,24.087719,Saturday,Night,Regular,"tips, makeup, grwm, skincare, beauty",No puedo parar de mirar 😂,90734.5,Mid,Spring,2025-01-04,2025-01,GRWM — Summer Look ✨ ⚽,22,1,33.4,0.815,iPhone,ForYou,1,2a43ff9c19f38ed4f84612b8d9328f0e,1950,0.058618,0.002391,83.252,0.05861759808735,0.0064466549972249,0.0081543781752977
TikTok,Ar,South America,es,Beauty,#FYP,Weekly Reset — Budget,LinaTV,trending,Soft glam loop,1,20,109665,7776,612,870,487,0.088862,declining,TikTok Creative Center,jumpcut edits,iOS,15,Lifestyle,11,Medium,9969.55,254,0.005581,0.007933,0.004441,30.494118,Friday,Afternoon,Regular,"daily, motivation, lifestyle, routine",¡Increíble!,98232.9,Mid,Spring,2025-01-03,2025-01,Morning Routine — Summer 🎯,26,1,13.0,0.65,iPhone,ForYou,1,17ebc9d66fda90f4c25131e20e453c83,9745,0.070907,0.002316,88.862,0.0709068526877308,0.0055806319244973,0.0079332512652167
TikTok,Sa,Asia,ar,Comedy,#Fashion,How to style Summer,NoorShorts,trending,Clap beat,1,48,7392,596,48,71,37,0.101732,seasonal,TikTok Creative Center,greenscreen,iOS,10,Fashion,6,Short,1232.0,7,0.006494,0.009605,0.005005,74.5,Friday,Morning,Regular,"fashion, grwm, ootd",شرح ممتاز 👏,87790.4,Mid,Fall,2025-01-03,2025-01,How to style Minimal,20,0,40.6,0.846,Samsung,ForYou,1,7624d9a2d2a9d45e248f44b432f97bfa,752,0.080628,0.000947,101.732,0.0806277056277056,0.0064935064935064,0.0096049783549783
TikTok,Ar,South America,es,Gaming,#Football,Weekly Reset — 2025,CookingWithYoussef,licensed,Trap beat,1,26,46036,3022,385,274,344,0.087432,rising,TikTok Creative Center,hook in 2s,Android,19,Sports,21,Medium,2192.19,128,0.008363,0.005952,0.007472,23.426357,Saturday,Evening,Regular,"gym, sports, workout, football",Gracias por compartir,107428.8,Mid,Fall,2025-01-04,2025-01,Workout you can’t skip,22,0,21.0,0.808,iPhone,Following,1,09c6e68bb505b3d3975d66311db05491,4025,0.065644,0.00278,87.432,0.0656442783908245,0.0083630202450256,0.0059518637587974
TikTok,Ae,Asia,ar,Tech,#FYP,Makeup basics you need,JamesVlogs,trending,Futurist pad,1,49,23297,1763,252,165,114,0.098468,seasonal,TikTok Creative Center,hook in 2s,iOS,23,Beauty,4,Short,5824.25,80,0.010817,0.007082,0.004893,21.765432,Friday,Night,Regular,"beauty, skincare, makeup, grwm",شرح ممتاز 👏,130631.3,Mid,Winter,2025-01-03,2025-01,Makeup Basics You Need 🧠,24,1,41.5,0.847,Samsung,ForYou,1,f59308f2e7223bdc17ae445586b43cb0,2294,0.075675,0.003434,98.468,0.0756749796111087,0.010816843370391,0.0070824569687084
TikTok,It,Europe,it,Food,#FYP,Night Routine — 2025,MayaChannel,trending,Street vibe,1,64,37472,2945,194,248,446,0.10229,rising,TikTok Creative Center,text-to-speech,Android,20,Lifestyle,6,Short,6245.33,86,0.005177,0.006618,0.011902,33.850575,Saturday,Evening,Regular,"routine, lifestyle, motivation, daily",Can’t stop watching 😂,86206.8,Mid,Fall,2025-01-04,2025-01,Night Routine — College,23,0,54.2,0.847,iPhone,Following,1,c72b5d8fbdddff62bda03fe76114a178,3833,0.078592,0.002295,102.29,0.0785920153714773,0.0051771989752348,0.0066182749786507
TikTok,Gb,Europe,en,Gaming,#FYP,Morning Routine — 2025,TravelByAyaka,original,Trap beat,1,18,17716,972,101,117,92,0.072364,rising,TikTok Creative Center,b-roll heavy,Android,13,Sports,9,Medium,1968.44,19,0.005701,0.006604,0.005193,48.6,Friday,Afternoon,HolidaySeason,"workout, football, gym, sports",So underrated!,91960.4,Mid,Winter,2025-01-03,2025-01,Football skills in 60s 📱,24,1,13.7,0.761,Samsung,ForYou,1,76810c8fff63d1d8f44dc24ca6cc9b21,1282,0.054866,0.001072,72.364,0.0548656581621133,0.005701061187627,0.0066041995935877
TikTok,Ma,Africa,ar,Music,#FYP,Weekly Reset — Budget,TravelByNoor,trending,Arabic pop,1,31,198863,12204,1081,839,1583,0.078984,declining,TikTok Creative Center,emoji overlays,Android,19,Pets,7,Short,28409.0,525,0.005436,0.004219,0.00796,23.201521,Saturday,Evening,Regular,"cute, dogs, pets",شرح ممتاز 👏,96440.7,Mid,Spring,2025-01-04,2025-01,Dog fails you can’t miss 🧠,26,1,16.5,0.532,iPhone,ForYou,1,22d5d388a405bf1a315d76ca21181aa8,15707,0.061369,0.00264,78.984,0.0613688820947084,0.0054359031091756,0.0042189849293232
TikTok,Ph,Asia,tl,Sports,#FYP,Weekly Reset — Summer,StreetMedia,licensed,Adrenaline synth,1,53,203390,29192,3417,3014,1874,0.18436,declining,TikTok Creative Center,cinematic b-roll,Android,22,Lifestyle,6,Short,33898.33,259,0.0168,0.014819,0.009214,112.276923,Friday,Evening,SummerBreak,"daily, routine, motivation",So underrated!,90954.4,Mid,Summer,2025-01-03,2025-01,Night Routine — Budget 🧠,24,1,27.8,0.525,Samsung,ForYou,1,6756d403d126fe4bbe67ddb880da441c,37497,0.143527,0.001273,184.36,0.1435272137273218,0.0168002359998033,0.0148188209843158
TikTok,Eg,Africa,ar,Beauty,#Comedy,If Budget was honest,StreetLabs,licensed,LoFi makeup beat,1,55,27070,2987,367,322,193,0.142926,rising,TikTok Creative Center,b-roll heavy,iOS,21,Comedy,6,Short,4511.67,128,0.013557,0.011895,0.00713,23.155039,Friday,Evening,SummerBreak,"funny, comedy, sketch",شرح ممتاز 👏,106295.8,Mid,Summer,2025-01-03,2025-01,If College was honest,21,0,33.9,0.616,Samsung,Following,1,5d2dfa52785a406bbafbb4d8d304bb7a,3869,0.110344,0.004728,142.926,0.1103435537495382,0.0135574436645733,0.0118950868119689
TikTok,Tr,Europe,tr,Fashion,#MorningRoutine,Weekly Reset — Beginners,DrLiam,original,Runway loop,1,30,45753,3181,203,234,441,0.088715,seasonal,Public Reports,subtitles,Android,14,Lifestyle,7,Short,6536.14,31,0.004437,0.005114,0.009639,99.40625,Friday,Afternoon,HolidaySeason,"daily, lifestyle, motivation, routine",Thanks for this!,111830.6,Mid,Winter,2025-01-03,2025-01,Night Routine — 2025 💪,22,1,25.4,0.847,Samsung,External,1,22b4c78e76f69361ac079e3dd1bfc67a,4059,0.069525,0.000678,88.715,0.0695254955959172,0.0044368675278123,0.0051144187266408
TikTok,In,Asia,hi,Music,#FYP,Build This in 10 Minutes,LinaChannel,licensed,Indie beat,1,29,134466,10041,915,771,617,0.0918,rising,Open Web Samples,emoji overlays,Web,20,Tech,9,Medium,14940.67,473,0.006805,0.005734,0.004589,21.183544,Friday,Evening,Regular,"tech, apps, tutorial",Can’t stop watching 😂,100230.7,Mid,Fall,2025-01-03,2025-01,My Favorite 2025 Apps,21,0,17.2,0.593,Desktop,Search,1,9cbd3631f7bb4a7309f3948f30707b68,12344,0.074673,0.003518,91.8,0.0746731515773504,0.0068046941234215,0.0057337914417027
TikTok,Cn,Asia,zh,Fitness,#DogTok,Night Routine — Summer,AyakaShorts,original,Hype trap,1,19,60529,3378,399,245,211,0.069933,seasonal,TikTok Creative Center,text-to-speech,Android,22,Pets,6,Short,10088.17,164,0.006592,0.004048,0.003486,20.472727,Friday,Evening,SummerBreak,"cats, cute, pets, dogs",Thanks for this!,75227.3,Mid,Summer,2025-01-03,2025-01,Dog fails you can’t miss 🍔,26,1,10.4,0.547,Pixel,ForYou,1,f1e9067d64b255c38b218f8ba1b113f5,4233,0.055808,0.002709,69.933,0.0558079598209122,0.0065918815774256,0.0040476465826298
TikTok,Ae,Asia,ar,DIY,#AI,Build This in 10 Minutes,PrimeLabs,trending,Woodshop groove,1,29,30507,2622,234,205,588,0.119612,rising,TikTok Creative Center,emoji overlays,Android,3,Tech,16,Medium,1906.69,35,0.00767,0.00672,0.019274,72.833333,Friday,Night,Regular,"tech, tutorial, ai",مش قادر أبطل اتفرج 😂,103134.2,Mid,Winter,2025-01-03,2025-01,My Favorite Summer Apps 🎯,25,1,18.5,0.638,Xiaomi,ForYou,1,5e1630774248309fc0a890f728edef1b,3649,0.085947,0.001147,119.612,0.085947487461894,0.0076703707345855,0.0067197692332907
TikTok,Se,Europe,sv,News,#HiddenGems,Street Food Tour in Cairo,AyakaPro,trending,Ambient pulse,1,10,42688,1589,217,102,100,0.047039,seasonal,Public Reports,tutorial overlay,Android,12,Travel,31,Evergreen,1377.03,40,0.005083,0.002389,0.002343,38.756098,Wednesday,Afternoon,Regular,"guide, hidden gems, food tour",Can’t stop watching 😂,139280.8,Mid,Spring,2025-01-01,2025-01,Street Food Tour — Istanbul,27,0,5.7,0.57,Oppo,ForYou,0,b94a07fa74eed2c0eb7b7e9146152672,2008,0.037224,0.000937,47.039,0.0372235757121439,0.0050833958020989,0.0023894302848575
TikTok,Se,Europe,sv,Education,#Comedy,If College was honest,PrimeVision,original,Calm piano,1,55,174949,12939,1990,1511,2008,0.105448,declining,Public Reports,hook in 2s,Android,18,Comedy,8,Medium,21868.62,543,0.011375,0.008637,0.011478,23.784926,Saturday,Evening,HolidaySeason,"comedy, relatable, funny",This is fire 🔥,96426.1,Mid,Winter,2025-01-04,2025-01,When your friend is College,27,0,42.6,0.775,iPhone,Following,1,8c36553047905a836bdfdd7d0d8b01e8,18448,0.073959,0.003104,105.448,0.0739586965344186,0.0113747434966761,0.0086368027253656
TikTok,Nl,Europe,nl,Fitness,#StudyWithMe,Weekly Reset — Productivity,PrimeVision,original,Hype trap,1,49,16398,728,63,74,45,0.055495,declining,TikTok Creative Center,storytime,Android,19,Education,26,Evergreen,630.69,17,0.003842,0.004513,0.002744,40.444444,Saturday,Evening,SummerBreak,"tips, learn, notes",Instant like!,96426.1,Mid,Summer,2025-01-04,2025-01,How I Take Notes for 2025,25,0,30.4,0.62,Huawei,ForYou,1,1c86aaf9469e297d7e7d81c887f99503,910,0.044396,0.001037,55.495,0.044395658007074,0.0038419319429198,0.004512745456763
TikTok,Ph,Asia,tl,Education,#Coding,My Favorite Summer Apps,YoussefVlogs,licensed,Calm piano,1,75,18238,601,92,68,40,0.043919,seasonal,TikTok Creative Center,text-to-speech,Android,19,Tech,13,Medium,1402.92,3,0.005044,0.003728,0.002193,150.25,Sunday,Evening,SummerBreak,"apps, ai, tools",Thanks for this!,101377.8,Mid,Summer,2025-01-05,2025-01,AI Tools You Must Try in 2025 📱,31,1,49.8,0.664,iPhone,ForYou,1,5f3d3732d61a87a6f0414d6c473f73b3,801,0.032953,0.000164,43.919,0.0329531746902072,0.0050444127645575,0.0037284789998903
TikTok,Gb,Europe,en,Tech,#Skincare,Makeup basics you need,TVAhmed,original,Glitch hop,1,23,25469,1813,292,133,268,0.098394,declining,TikTok Creative Center,fast captions,Android,15,Beauty,8,Medium,3183.62,15,0.011465,0.005222,0.010523,113.3125,Wednesday,Afternoon,Regular,"beauty, skincare, makeup, tips, grwm",Instant like!,80254.8,Mid,Spring,2025-01-01,2025-01,GRWM — Evening Look ✨,21,1,18.6,0.809,Samsung,External,0,dd55e34fa8a1823d287b6662543bf236,2506,0.071185,0.000589,98.394,0.0711845773293022,0.0114649181357729,0.0052220346303349
TikTok,Ae,Asia,ar,Tech,#CatTok,Weekly Reset — Budget,SaraTV,original,Glitch hop,1,17,19628,1839,113,195,113,0.115142,rising,TikTok Creative Center,text-to-speech,iOS,1,Pets,11,Medium,1784.36,68,0.005757,0.009935,0.005757,26.652174,Saturday,Night,SummerBreak,"pets, cute, dogs, cats",شرح ممتاز 👏,85706.8,Mid,Summer,2025-01-04,2025-01,My cat did this 😂 🎯,19,1,11.6,0.682,iPhone,Search,1,7c36e75ad4de2bf82fcc4a9eb0336746,2260,0.093693,0.003464,115.142,0.0936926839209292,0.0057570817199918,0.0099347870389239
TikTok,Se,Europe,sv,Fitness,#FYP,Morning Routine — Beginners,BeyondMedia,original,Cardio loop,1,41,52565,3198,461,382,401,0.084505,stable,Open Web Samples,subtitles,Android,20,Lifestyle,7,Short,7509.29,87,0.00877,0.007267,0.007629,36.340909,Sunday,Evening,Regular,"motivation, lifestyle, routine, daily",So underrated!,99253.8,Mid,Fall,2025-01-05,2025-01,Night Routine — Budget,22,0,26.2,0.639,iPhone,Following,1,30b7948ed893855d3354f469f97d1bab,4442,0.060839,0.001655,84.505,0.0608389612860268,0.0087700941691239,0.0072671929991439
TikTok,Ru,Europe,ru,Travel,#FYP,Street Food Tour in New York,NoahTV,original,City stroll,1,32,93351,3150,480,282,265,0.044745,declining,Open Web Samples,text-to-speech,iOS,18,Travel,3,Short,31117.0,65,0.005142,0.003021,0.002839,47.727273,Friday,Evening,Regular,"travel, vlog, food tour, hidden gems, guide",This is fire 🔥,98910.3,Mid,Spring,2025-01-03,2025-01,24 Hours in New York,20,0,18.2,0.569,Samsung,ForYou,1,b4ed8459b8846a80341e8bb65865be25,4177,0.033744,0.000696,44.745,0.0337436128161455,0.0051418838576983,0.0030208567663977
TikTok,Mx,North America,es,Sports,#GameClip,New Patch Tips for Valorant,AliPro,trending,Stadium chant,1,22,8948,819,72,84,51,0.114662,seasonal,Public Reports,cinematic b-roll,iOS,8,Gaming,7,Short,1278.29,7,0.008046,0.009388,0.0057,102.375,Saturday,Morning,Regular,"esports, valorant, gaming, highlights, fps",No puedo parar de mirar 😂,110084.9,Mid,Fall,2025-01-04,2025-01,Pro Tips for Fortnite in 60s 🎵,30,1,13.1,0.595,Xiaomi,Search,1,9833f94dd92d4f85ed2e8ebbffa75414,1026,0.091529,0.000782,114.662,0.0915288332588287,0.0080464908359409,0.0093875726419311
TikTok,In,Asia,hi,Travel,#FYP,Best Settings for Minecraft,ProSofia,original,Waves & bells,1,13,721155,62777,8235,4912,11902,0.121785,seasonal,TikTok Creative Center,storytime,Android,23,Gaming,6,Short,120192.5,2653,0.011419,0.006811,0.016504,23.65373,Friday,Night,SummerBreak,"highlights, gaming, clips, fps, valorant",So underrated!,80481.8,Mid,Summer,2025-01-03,2025-01,Pro Tips for Fortnite in 60s 🎮,30,1,10.2,0.785,Samsung,ForYou,1,2680c0ca33a907023ccce42bd273f882,87826,0.087051,0.003679,121.785,0.0870506340523188,0.0114191817293092,0.0068112957685934
